 age  q.male q.female
   0 0.00522  0.00449
   1 0.00030  0.00021
   2 0.00022  0.00016
   3 0.00017  0.00013
   4 0.00013  0.00010
   5 0.00011  0.00009
   6 0.00010  0.00008
   7 0.00009  0.00007
   8 0.00008  0.00007
   9 0.00008  0.00007
  10 0.00009  0.00008
  11 0.00010  0.00008
  12 0.00012  0.00009
  13 0.00015  0.00011
  14 0.00020  0.00014
  15 0.00028  0.00018
  16 0.00039  0.00022
  17 0.00051  0.00026
  18 0.00059  0.00028
  19 0.00066  0.00029
  20 0.00071  0.00030
  21 0.00075  0.00030
  22 0.00076  0.00031
  23 0.00076  0.00031
  24 0.00074  0.00030
  25 0.00071  0.00030
  26 0.00070  0.00030
  27 0.00069  0.00031
  28 0.00070  0.00032
  29 0.00071  0.00034
  30 0.00074  0.00037
  31 0.00078  0.00040
  32 0.00082  0.00043
  33 0.00086  0.00047
  34 0.00091  0.00051
  35 0.00096  0.00056
  36 0.00102  0.00060
  37 0.00108  0.00066
  38 0.00115  0.00071
  39 0.00123  0.00077
  40 0.00132  0.00084
  41 0.00142  0.00092
  42 0.00153  0.00100
  43 0.00165  0.00109
  44 0.00179  0.00118
  45 0.00194  0.00129
  46 0.00211  0.00140
  47 0.00229  0.00153
  48 0.00251  0.00166
  49 0.00275  0.00181
  50 0.00301  0.00197
  51 0.00331  0.00215
  52 0.00364  0.00235
  53 0.00401  0.00257
  54 0.00441  0.00280
  55 0.00484  0.00307
  56 0.00533  0.00336
  57 0.00586  0.00368
  58 0.00645  0.00403
  59 0.00709  0.00442
  60 0.00780  0.00485
  61 0.00859  0.00533
  62 0.00945  0.00586
  63 0.01040  0.00645
  64 0.01145  0.00710
  65 0.01260  0.00782
  66 0.01387  0.00862
  67 0.01528  0.00951
  68 0.01682  0.01051
  69 0.01852  0.01161
  70 0.02040  0.01284
  71 0.02247  0.01420
  72 0.02475  0.01573
  73 0.02726  0.01743
  74 0.03004  0.01934
  75 0.03310  0.02146
  76 0.03647  0.02384
  77 0.04019  0.02649
  78 0.04430  0.02947
  79 0.04883  0.03280
  80 0.05383  0.03654
  81 0.05935  0.04074
  82 0.06543  0.04545
  83 0.07215  0.05074
  84 0.07957  0.05669
  85 0.08776  0.06338
  86 0.09680  0.07091
  87 0.10678  0.07940
  88 0.11780  0.08897
  89 0.12997  0.09977
  90 0.14341  0.11196
  91 0.15794  0.12542
  92 0.17326  0.13991
  93 0.18931  0.15541
  94 0.20604  0.17190
  95 0.21839  0.18849
  96 0.23536  0.20653
  97 0.25290  0.22549
  98 0.27092  0.24526
  99 0.28933  0.26571
 100 0.30802  0.28671
 101 0.32687  0.30810
 102 0.34576  0.32970
 103 0.36457  0.35132
 104 0.38319  0.37280
 105 0.40149  0.39395
 106 0.41937  0.41461
 107 0.43673  0.43462
 108 0.45350  0.45386
 109 0.46960  0.47222
